geonameid,asciiname,latitude,longitude,country_code,population,timezone
125897,Langarud,37.19701,50.15351,IR,68148,Asia/Tehran
126409,Kuhdasht,33.53335,47.60999,IR,100208,Asia/Tehran
126914,Kish,26.55778,54.01944,IR,20922,Asia/Tehran
126972,Khvoy,38.5503,44.9521,IR,175370,Asia/Tehran
127033,Khvansar,33.22052,50.31497,IR,21146,Asia/Tehran
127319,Khorramshahr,30.44079,48.18428,IR,330606,Asia/Tehran
127349,Khorramabad,33.48778,48.35583,IR,329825,Asia/Tehran
127403,Khomeyn,33.64225,50.0789,IR,77425,Asia/Tehran
127878,Khani Yek,29.89167,51.68667,IR,2493,Asia/Tehran
128008,Khalkhal,37.6189,48.5258,IR,51024,Asia/Tehran
128226,Kermanshah,34.31417,47.065,IR,621100,Asia/Tehran
128234,Kerman,30.28321,57.07879,IR,577514,Asia/Tehran
128321,Kazerun,29.61949,51.65415,IR,94511,Asia/Tehran
128447,Kashmar,35.23831,58.46558,IR,96151,Asia/Tehran
128477,Kashan,33.98308,51.43644,IR,272359,Asia/Tehran
128747,Karaj,35.83266,50.99155,IR,1448075,Asia/Tehran
128831,Kangavar,34.5043,47.9653,IR,53414,Asia/Tehran
128905,Kamyaran,34.7956,46.9355,IR,61642,Asia/Tehran
129512,Kalaleh,37.37899,55.493,IR,33700,Asia/Tehran
129933,Juybar,36.64115,52.91244,IR,28404,Asia/Tehran
130216,Khark,29.26139,50.33056,IR,8196,Asia/Tehran
130245,Javanrud,34.79611,46.51722,IR,38657,Asia/Tehran
130366,Jongiyeh,31.25583,48.61667,IR,4183,Asia/Tehran
130802,Ilam,33.6374,46.4227,IR,140940,Asia/Tehran
131962,Harsin,34.2721,47.5861,IR,57647,Asia/Tehran
132144,Hamadan,34.79922,48.51456,IR,528256,Asia/Tehran
132892,Gorgan,36.8427,54.44391,IR,244937,Asia/Tehran
132938,Gonbad-e Kavus,37.25004,55.16721,IR,131416,Asia/Tehran
132961,Gonabad,34.35287,58.68365,IR,43465,Asia/Tehran
133037,Golpayegan,33.4537,50.28836,IR,44916,Asia/Tehran
133595,Gerash,27.6652,54.1371,IR,25316,Asia/Tehran
134217,Bandar-e Ganaveh,29.5791,50.517,IR,52750,Asia/Tehran
134441,Fuman,37.224,49.3125,IR,27763,Asia/Tehran
134518,Firuzabad,28.8438,52.5707,IR,66558,Asia/Tehran
134601,Fareydunshahr,32.94098,50.121,IR,11562,Asia/Tehran
134602,Fereydunkenar,36.68642,52.52255,IR,34097,Asia/Tehran
134721,Fasa,28.9383,53.6482,IR,98061,Asia/Tehran
